"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Cmp%","Yds...14","TD","Sk","Yds...17","Int","Rate"
"194",194,"CLE",2022-10-23,16,"Sun",7,7,"@","BAL","L 20-23",9,16,56.3,94,0,3,26,0,73.4
"195",195,"IND",2022-10-23,20,"Sun",7,7,"@","TEN","L 10-19",13,20,65,116,0,2,16,0,80.4
"196",196,"SEA",2022-10-23,51,"Sun",7,7,"@","LAC","W 37-23",33,51,64.7,276,2,3,17,1,83.5
"197",197,"TEN",2022-10-23,44,"Sun",6,7,NA,"IND","W 19-10",33,44,75,227,1,3,16,2,74.7
"198",198,"LVR",2022-10-23,41,"Sun",6,7,NA,"HOU","W 38-20",28,41,68.3,296,2,1,6,1,95.2
"199",199,"DET",2022-10-23,25,"Sun",6,7,"@","DAL","L 6-24",19,25,76,191,1,2,16,0,110.6
"200",200,"GNB",2022-10-23,33,"Sun",7,7,"@","WAS","L 21-23",20,33,60.6,198,2,1,3,1,85.2
"201",201,"CIN",2022-10-23,13,"Sun",7,7,NA,"ATL","W 35-17",8,13,61.5,107,1,3,17,0,113.3
"202",202,"GNB",2022-10-23,33,"Sun",7,7,"@","WAS","L 21-23",20,33,60.6,198,2,1,3,1,85.2
"203",203,"ATL",2022-10-23,42,"Sun",7,7,"@","CIN","L 17-35",34,42,81,459,3,3,22,0,136
"204",204,"SEA",2022-10-23,51,"Sun",7,7,"@","LAC","W 37-23",33,51,64.7,276,2,3,17,1,83.5
"205",205,"BAL",2022-10-23,27,"Sun",7,7,NA,"CLE","W 23-20",22,27,81.5,223,0,5,35,0,101.1
"206",206,"LVR",2022-10-23,41,"Sun",6,7,NA,"HOU","W 38-20",28,41,68.3,296,2,1,6,1,95.2
"207",207,"LAC",2022-10-23,27,"Sun",7,7,NA,"SEA","L 23-37",20,27,74.1,191,2,2,19,1,102.5
"208",208,"PIT",2022-10-23,35,"Sun",7,7,"@","MIA","L 10-16",21,35,60,261,1,0,0,0,92.7
"209",209,"NYJ",2022-10-23,46,"Sun",7,7,"@","DEN","W 16-9",24,46,52.2,219,0,1,6,1,56.3
"210",210,"IND",2022-10-23,20,"Sun",7,7,"@","TEN","L 10-19",13,20,65,116,0,2,16,0,80.4
"211",211,"NYG",2022-10-23,44,"Sun",7,7,"@","JAX","W 23-17",22,44,50,310,0,0,0,0,73.1
"212",212,"WAS",2022-10-23,35,"Sun",7,7,NA,"GNB","W 23-21",23,35,65.7,194,2,0,0,0,99
"213",213,"JAX",2022-10-23,30,"Sun",7,7,NA,"NYG","L 17-23",19,30,63.3,200,1,1,2,0,93.7
